Row,KOI_ID,Label,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
1215,4741126.0,1.0,6434.0,4.394,-0.1,1.138,1.169
1216,11669125.0,1.0,5767.0,4.538,-0.06,0.8809999999999999,0.9790000000000001
1217,12159249.0,1.0,4847.0,4.606,0.36,0.7609999999999999,0.86
1218,9872292.0,0.0,5204.0,4.55,-0.08,0.789,0.8079999999999999
1219,9963461.0,0.0,4132.0,4.699,-0.3,0.564,0.578
1220,8081482.0,0.0,5861.0,4.212,0.0,1.304,1.01
1221,5542466.0,0.0,6194.0,4.415,0.21,1.129,1.208
1222,4178389.0,0.0,6309.0,4.154,0.28,1.614,1.358
1223,5542466.0,0.0,4564.0,4.593,-0.06,0.691,0.6829999999999999
1224,5542466.0,0.0,5753.0,4.57,-0.3,0.815,0.907
1225,10028140.0,0.0,6340.0,3.833,-0.46,2.173,1.1740000000000002
1226,6048024.0,0.0,5482.0,4.502,-0.12,0.858,0.853
1227,6049190.0,0.0,5812.0,4.551,-0.2,0.853,0.9470000000000001
1228,6149553.0,0.0,4810.0,4.5360000000000005,0.12,0.7759999999999999,0.755
1229,6198999.0,1.0,5566.0,4.532,0.12,0.8859999999999999,0.975
1230,6310636.0,1.0,6495.0,4.128,-0.14,1.554,1.182
1231,6616218.0,1.0,5646.0,4.493,0.12,0.932,0.986
1232,7761545.0,1.0,6109.0,4.247,0.14,1.36,1.194
1233,7499398.0,0.0,5810.0,4.25,0.1,1.2590000000000001,1.026
1234,12365184.0,1.0,6119.0,4.274,0.1,1.2990000000000002,1.157
1235,4770365.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987
1236,4770365.0,1.0,6036.0,4.3260000000000005,-0.18,1.131,0.987
1237,4770365.0,0.0,6036.0,4.3260000000000005,-0.18,1.131,0.987
1238,10748390.0,1.0,6036.0,4.3260000000000005,-0.18,1.131,0.987
1239,11804465.0,1.0,6036.0,4.3260000000000005,-0.18,1.131,0.987
1240,9663113.0,1.0,5565.0,4.251,0.32,1.246,1.008
1241,5649956.0,0.0,5422.0,4.484,0.02,0.887,0.8740000000000001
1243,5217586.0,0.0,5706.0,4.561,-0.18,0.8340000000000001,0.93
1244,5289854.0,1.0,3638.0,4.8439999999999985,-0.14,0.42,0.45
1245,5289854.0,1.0,5962.0,4.431,0.0,1.028,1.0390000000000001
1246,9895709.0,0.0,5951.0,4.439,-0.14,0.991,0.983
1247,10006581.0,1.0,5637.0,4.399,-0.3,0.943,0.813
1248,5972334.0,0.0,6109.0,4.422,-0.36,0.993,0.95
1249,6616218.0,1.0,5900.0,4.509,0.07,0.951,1.065
1250,6696462.0,0.0,5730.0,4.545,-0.06,0.87,0.968
1251,7220429.0,1.0,6119.0,4.274,0.1,1.2990000000000002,1.157
1252,7222086.0,0.0,5811.0,4.5360000000000005,-0.2,0.866,0.94
